	P4. 양*선
양*선	"제일 궁금한 게 또 장을 시작하면 9시에 저희가 이거부터 확인을 하게 되잖아요.
뉴스에서도 항상 코스피가 코스닥이 얼마나 떨어졌다 이런 게 그냥 이게 제일 첫 번째 확인하는 거니까 이게 제일 컸으면 좋겠다"
진행자	알겠습니다. 뭔가 상대적으로 좀 만족한 건 있으시지만 그래도 뭔가 만점을 주시진 않으셨어요 나머지 1점을 좀 채우기 위해서는 어떻게 좀 보완이 될 필요가 있을까요?
양*선	이 정도면 괜찮긴 한데 더 이상 더 뭐가 있을까요? 근데
진행자	"알겠습니다. 넘어가 보도록 하겠습니다. 아직 확인하지 않은 메뉴가 한 3개 정도 남았습니다.
근데 이제 마켓 보다는 조금 더 간단하게 스크롤하면서 내려보시고 이제 탭 이동해 보시면서 어떤 내용이 있는지 확인해 보실 시간 조금 더 가져보겠습니다.
이거 마셔도 돼요. 네네네"
진행자	"몇 가지는 좀 클릭을 해보려고 시도하시는 모습도 있었는데 좀 관심이 가서 좀 클릭을 하고 싶으신 게 있으셨으면 그게 왜 조금 그렇게 해보고 싶으셨는지도 설명해 주시면 좋을 것 같아요.
네 급상승 종목에서는 이제 보유 관심 저 필터 부분을 클릭하셨거든요.
국내 종목에서 어떤 게 좀 보고 싶으셨던 건지"
양*선	"급상승했으니까 왜 급상승을 했는지 정보는 알아야 되잖아요.
제가 안 갖고 있더라도 앞으로 투자를 할 수도 있는 거니까 그래서 왜 올라가는지 궁금해서 들어갈 것 같고 뭐가 올라가는 거예요?
수정 되고"
진행자	일단 그러면 다른 질문드려볼게요. 이제 토론 메뉴에서 오늘의 추천 실시간 토론 메뉴 쭉 보셨는데 혹시 관심이 좀 가거나 투자에 도움이 된다라고 느끼시는 내용이 있었나요?
양*선	"오늘의 추천에서는 제가 갖고 있는 거 말고 다른 게 다 나오는 거잖아요.
의심 있게 볼까 싶은데 제가 갖고 있는 것만 그냥 모아져 있으면은 좋을 것 같아요.
토론 급상승 말고 제가 가지고 있는 토론방에 그것만 모여져 있는 그런 토론 방"
진행자	"뭔가 한 화면에서 가지고 있는 종목들이 좀 다르더라도 한 번에 같은 화면에서 올라오기를 기대하세요.
그 게시글이나 이런 것들이 아니면"
양*선	"그러면 더 나을 것 같아요. 좋을 것 같은데 제가 가지고 있는 정보만 왜냐하면 다 하나하나씩 들어가야 되니까 제가 가지고 있는 건 종목에 들어가서 또 토론방을 봐야 되잖아요.
근데 제가 가지고 있는 종목에 토론방만 이런 식으로 모아져 있으면은 한눈에 보기 좋을 것 같아요."
진행자	실시간 토론 메뉴에서는 어떠셨어요?
양*선	이게 엄청 올라갈 거 아니에요? 이거 막 실시간이니까
양*선	네 이거 그냥 다 모아져 있는 것보다 그냥 제가 만약에 갖고 있어 카카오뱅크 거기에 있는 실시간 토론 아까 말씀드렸다시피 그렇게 되면 들어갈 것 같은데 이거를 계속 보고 있을 것 같아.
진행자	그러니까 만약에 내가 고용하고 있는 것에 대한 토론만 계속해서 뭔가 업데이트해서 보고 싶다라고 하면 어떻게 할 것 같으세요?
양*선	아까 있었던 것 같은데 카카오페이 들어가면은 그 옆에
진행자	그 종목에 대한 걸 이제 보시겠다는 거 상단에 있는 이제 핫글 인기 유저 여기서 전체나 이렇게 몇 가지 클릭해 보시는 모습도 있었는데 마이 같은 걸 누르면 어떤 게 나올까요?
양*선	"아까 말씀하신 그 말씀하신 대로 그 제 게 나오는 건가요?
제가 썼던 게 나오는 것 같은"
진행자	"내가 썼던 글들이 좀 보일 거다 이렇게 생각하시는 거 알겠습니다.
네 사실 이제 오늘 추천 여기 화면으로 넘어왔고요.
아까 여기 딱 보시면서 이제 내가 보유한 거가 아니라 다 나오는 건데 쓸 일이 있을까요?
이렇게 좀 말씀 주시긴 했어요. 근데 이제 토론 메뉴 좀 보셨으니까 이 토론 메뉴를 내가 투자하는 상황에서 어떤 상황에 좀 이용할 것 같다 이렇게 생각 드세요?"
양*선	"그것도 아까 말씀드렸다시피 그냥 갑자기 뜰 때 네 종목이 막 계속 뜰 때 제가 주식 처음 초반에 시작했을 때 많이 봤었거든요.
사람들이 어떻게 생각하는지 항상 똑같잖아요. 다음 날 떨어진다 어떤 사람은 또 오른다 그래서 거기에 진짜인가 이렇게 계속 보긴 했는데 시간이 지나니까 안 보게 되더라고요.
갑자기 오를 때 10% 20% 오를 때 들어가서 사람들은 어떻게 생각하는지 보거든요.
그럴 때 그거를 막 이거를 하루에 한 시간에 3~4 번씩 미래에셋에 들어간다고 항상 토론방을 들어가지는 않거든요.
갑자기 뜰 때 급등할 때 아니면 완전히 하락할 때 왜 이러지 하면서 들어가는"
진행자	그럼 궁금하실 때 내가 가지고 있는 종목에 대해서 그게 궁금할 때 이 토론 메뉴에 들어가서 그걸 찾을까요?
양*선	그 종목에 있는 토론법
진행자	"종목에 있는 토론 탭으로 이동을 하시겠어요? 그럼 이 종목에 있는 토론 탭 얘기를 계속해 주셨어요?
보유하고 있는 종목에 대해서 궁금하기 때문에 그럼 이 토론 메뉴에서는 어떤 내용이 좀 관심이 가고 어떤 상황에 이용할 수 있을 것 같다고 생각하세요?"
양*선	"근데 여기 전체적인 거는 제가 관심 없는 종목도 많잖아요.
그래서 그냥 이렇게 읽다가 아니면 전체적인 내용 코스피 코스닥에 대해서 앞으로 서로 전망하는 거 정치적인 얘기가 너무 많이 올라올 것 같아 가지고 그런 거는"
진행자	"그렇군요. 알겠습니다. 아래쪽으로 쭉쭉 내리시면서 또 내용들 보셨는데 각각의 콘텐츠 들을 좀 봤을 때도 좀 도움이 되는 그런 정보는 없었나요?
위에 이제 얘기는 좀 했었던 것 같고"
양*선	"이런 거 이슈 중에 종목 토론 이런 거는 제가 모를 수 있는 거 있잖아요.
박찬이랑 약간 이런 거는 사본 적도 없고 많이 오간다는 얘기는 들어서 그런 게 만약에 있으면은 토론 요역 같은 건 볼 것 같아요.
관심이 없는데 만약에 뜨고 있다라는 종목이 있으면 제가 그 종목을 들어가서 토로마까지는 안 들어가 볼 것 같은데 이런 데에 그냥 러프하게 나와 있으면은 이런 것도 나중에 떨어지면 한번 사볼까라는 생각이 들 그렇군요."
진행자	"아래쪽에 있는 콘텐츠 하나하나 좀 평가를 하기보다는 질문을 이렇게 드려볼게요.
지금 이 AI로 요약되는 거 내가 관심이 없는 종목일 때 뭔가 관심을 가지면서 볼 수 있을 것 같다는 말씀을 주셨잖아요.
상대적으로 이제 위쪽에서는 없을지 아닐지 좀 고민이 된다 이런 말씀도 좀 주셨던 것 같은데 혹시 이 안에서 좀 우선순위가 있을까요?
이거 콘텐츠들의"
진행자	양미선 님께서 느끼시기에 어떤 내용이 좀 중요하다라고 생각하시는지 우선순위를 좀 매겨주시면 좋을 것 같습니다.
양*선	이게 제일 좋을 것 같아 이슈 중인 종목들의 통 둘러보기
진행자	그 내용이요.
양*선	"이게 그냥 제가 가지고 있는 거 말고도 다양하게 상승하라고 했는데 이 사람들은 어떻게 생각하는구나.
네 그런 게 약간 도움이 될 것 같긴 해요."
진행자	"이 아래쪽에 있는 이 종목 토론 눌러보기도 그렇고 토론 급상승 종목도 그렇고 내가 이제 가지고 있지 않을 수도 있다라는 데서는 공통점이 좀 있었잖아요.
근데 이제 위에서는 내가 가지고 있지 않기 때문에 관심이 안 간다 이렇게 말씀 주셨는데 아래쪽에 있는 내용은 뭔가 내가 가지고 있지 않은데 관심을 좀 가져볼 수 있을 것 같다 이렇게 좀 상반된 평가를 해 주신 거에 대해서 정말 그 이유가 어떤 부분인지 조금 더 구체적으로 여쭤보고 싶어"
양*선	이거는 토론 급상승이잖아요.
진행자	아 네 네
양*선	"글을 많이 올리는 거에 대한 리스트업을 한 거라면은 이거는 거래 대금이니까 어차피 돈이 들어간 사람들의 얘기잖아요.
그리고 1 2 3 4 5 이 정도면은 이유가 있을 테니까 이 거래를 많이 한 이유가 있을 테니까 이 사람들은 왜 이렇게 생각하지 왜 이 종목은 많이 떴지 그래서 그냥 더 관심이 가는 것 같아요.
글을 많이 단순하게 올리는 것보다 이상한 글도 많으니까 토론방에는요.
돈을 많이 올랐는데 이 사람들이 쓰는 글은 뭔가 좀 더 흥미가 간다.
그렇군요."
진행자	"알겠습니다. 이 실시간 토론도 아까 이제 확인했잖아요.
이 탭들 좀 두 가지 봤을 때는 어떤 탭에 있는 내용이 더 흥미 있게 좀 보여지나요?"
양*선	"실시간 토론은 다양한 그냥 자기가 갖고 있는 종목에 대해서 그냥 랜덤하게 올리는 거잖아요.
과연 이게 제가 과연 볼까? 관심 뱅크 뱅크웨어 글로벌 같은 거는 저희 알지도 못하는 거니까"
진행자	"만약에 아까 이제 보유 종목에 대한 최신 글들만 계속 뭔가 저희 피드처럼 이렇게 보고 싶다 이렇게 말씀 주셨는데 만약에 그 내용을 여기서 마이 메뉴에서 볼 수 있다라고 하면 좀 생각이 달라지실까요?
그렇게 하실 것 같으세요? 종목이 급등하면 여기서 보유 종목에 초롱 글 이제 확인할 것 같으세요?"
양*선	제 거요? 네네 네 나이에요. 제가 갖고 있는
진행자	"그렇게 만약에 가능하다라고 생각하면 이 실시간 토론 탭에 대한 의견이 좀 달라지실까요?
선호나 이런 것들이"
양*선	훨씬 편해지니까 왜냐하면 실시간 토론이 들어가려면 또 종목이 들어가서 거기에 토론이 들어가서 실시간 토론이 들어가야 되는데 3단계를 안 거치고 그냥 y로 들어가면 되니까 들어가 볼 것 같아요.
진행자	그렇군요.
양*선	"어떻게 생각하는지 새로운 소식이 있는 건지 뉴스보다도 더 빠를 수 있잖아요.
실시간 토론 사람들이 막 올리니까"
진행자	"네 알겠습니다. 뭔가 등락이 있을 때 그러면은 내가 궁금해서 들어가는 게 아니더라도 뭔가 실시간 토론의 마이 같은 탭에서 내가 가지고 있는 종목들의 계속해서 새로운 종목 토론 소식들을 접할 수 있다면 그거를 계속 주기적으로 확인하실 것 같으세요?
그러진 않을 것 같아요."
양*선	초반기에 자주 들어가서 봤는데 눈 빠지고 그냥 약간 정신만 더 안 좋아지는 것 같고
진행자	그렇군요.
양*선	거기 가 가슴 미형 등 많아
진행자	"알겠습니다. 한 장 넘겨보시면 이 토론 메뉴이고요.
토론 메뉴에 대한 얘기는 저희가 이제 충분히 나눈 것 같아서 평가 해 주시고 바로 넘어가겠습니다."
진행자	"다음 메뉴로 넘어갈 텐데요. 이제 뉴스 리서치 메뉴입니다.
동일하게 이제 뉴스 탭 리서치 탭 스크롤 해서 내려보시고 어떤 내용 담겨 있는지 확인해 주시고 의견 바로 나눠보겠습니다.
보시면서도 바로 보시는 생각들이 있으면 말씀 주셔도 돼요."
양*선	이런 케이팝 콘텐츠가 올라간다. 그러면은 클릭하면은 거기에 대한 종목이 쫙 나와요.
진행자	종목이 좀 바로 나오는
양*선	"네 저는 뉴스면은 이거 어차피 주식에 다 관련된 뉴스잖아요.
농심 라면이면은 이 케이푸드에 관한 종목이 쭉 나오면은 아까 연결만 시키면 되니까 주 종목별로 바로 그냥 클릭해서 보다 보면은 맨 마지막에 그 종목이 나왔으면 좋겠어."
진행자	뉴스 기사의 마지막에 그 종목에 연결돼 있으면 좋겠다 이런
양*선	"테마가 있는 거잖아요. 스타필드 이런 거는 건축 뭐 이런 거니까 그런 게 밑에 맨 마지막 기사 맨 마지막에 나오는 이런 종목이 이 콘텐츠랑 맞는 거구나 이런 생각이 들 것 같고 너무 그 뉴스가 많아가지고 잘 그냥 헤드라인만 보게 될 것 같아요.
약간 헤드라인 어차피 하이닉스 많이 오르는 거 알고"
진행자	"여러 가지 기준으로 지금 뉴스가 보여지고 있잖아요.
보여지는 기준들에 대해서는 뭐 드시는 생각 없으세요?"
양*선	근데 너무 많다. 너무 많다. 테마가 너무 많고 이런 뉴스는 다음 포털만 가도 많잖아 그 구성도 다 이런 식이고 그래서 헤드라인이 되게 특이하지 않으면 다음도 잘 안 보게 되니까 유튜브 많이 보고
진행자	"그렇게 그럼 어떻게든 이 뉴스 화면이 구성돼 있으면 많지 않다.
그리고 내가 다음 뭔가 뉴스 기사를 보고 다음 포털 사이트 다음이 아니라 뉴스 기사를 보고 다음 행동으로 좀 이어질 수 있을까 생각해 보시면 어떨까요?
이 뉴스 화면의 구성에 대해서"
양*선	전해주고 싶은 뉴스가 많은 건 알겠는데 추천하는 거 중요한 거 하나 이제 크게 하나 이거 이 화면을 아예 그냥 크게 하면은 그걸 클릭할 것 같은데 이 화면에 막 조각조각이 있으니까 안 보게 될 것 같아요.
진행자	하나가 좀 크게 보여진다라고 하면 어떤 기준으로 그 하나가
양*선	"보여줄까에서 제일 1시간 내에 요즘에 스코도 많이 뜨니까 실시간으로 하나 제일 한 시간이 하나의 제일 중요한 거 분마다 실시간이 뜨지 않잖아요.
그래서 한 시간에 누가 픽하는 뉴스 되게 약간 애널리스트 누구 누가 픽한 뉴스 장이 9시부터 저녁까지는 8시까지 9시까지 하지만 한 3시 반까지만 해도 1시간에 하나 정도"
진행자	리서치 메뉴도 짧게 한번 볼까요? 안 들어가 보신 것 같아서 여기도 동일하게 보여지는 기준이나 이런 것들이 실제로 투자하는 데 좀 도움이 될지 그런 질문을 드리고 싶습니다.
양*선	이것도 되게 미래에셋에 나오는 거랑 비슷해서 여기도 잘 안 보거든요.
진행자	잘 안 보세요 왜 잘 안 보게 되는 것 같으세요? 이 내용들이
양*선	그냥 전공은 많고 제가 찾아보고 싶은 건 그냥 따로 찾아볼 수 있게끔
진행자	만약에 이런 또 안에 들어갔을 때 보여주는 모습도 보셔도 될 것 같아
양*선	"스튜디오도 그냥 이렇게 읽는 것보다 요즘에 다 읽지는 않고 그냥 듣잖아요.
구배속으로 시간도 없고 하니까."
진행자	"근데 아까 이제 영상 콘텐츠 얘기를 좀 해 주셨는데 이 토론 탭에서 아래쪽에 있는 뭔가 이제 영상들 보고는 어떤 코멘트를 사실 주시진 않으셨어요?
혹시 뭔가 여기 있는 영상을 보여주는 모습이 기대하시는 모습은 아니었나요?"
양*선	주식 단테 이런 사람은 제가 몰라요. 팔로워도 되게 작고
진행자	네 팔로어 수치를 좀 보셨어?
양*선	아니면은 제가 자주 보는 거를 플러스 할 수 있는 그런 거
진행자	관심 있게 보시는 채널들이나 이런
양*선	배도 할 수 있는 그런 게 나을 것 같지 갑자기 토마토 증권통 이런 거 보지도 않는데 나오면은 그냥 스킵하고
진행자	"알겠습니다. 저희 뉴스 리서치 탭 보고 있었고요.
뉴스 리서치 탭은 좀 짧게만 다루고 바로 넘어가겠습니다.
그래서 한 장 넘겨보시면 평가해 주시고 저희 마지막 남은 이제 마이 화면 여기 하면 될 것 같습니다.
그럼 뉴스 리서치 하면 평가 좀 해 주시고"
진행자	네 마지막 메뉴이고요. 이제 마이 메뉴인데 아까 여기도 스쳐 지나가면서 봤었는데 일단 먼저 보실 시간 좀 드려보겠습니다.
진행자	하나만 더 저희가 준비를 해놨습니다. 미래에셋 기준으로
양*선	보기 깔끔한데요.
진행자	보시면서 약간 이렇게 끄덕끄덕하시는 모습도 있었는데 어떤 부분을 보고 그렇게 조금 그런 긍정적인 반응을 해 주신 걸까요?
양*선	"증권 주 거래는 미래에서 하지만 회비도 있고 가끔 이제 청약하거나 공모주 하거나 할 때는 하거든요.
그래서 그런 거 한눈에 볼 수 있어서 좋고 좋은 것 같아요."
진행자	"증권사별로 한눈에 볼 수 있다는 점이 좀 만족스럽게 느껴지세요.
혹시 기존에 투자하시면서 이렇게 다른 증권사들의 이 분산돼 있는 투자를 한 번에 좀 모아서 보려는 이런 시도가 있으신가요?"
양*선	"네 있었는데 뭔가 정보가 유출 될 것 같은 느낌 있잖아요.
그리고 보통 쓰는 게 미래에 많이 쓰니까 굳이 연결을 안 해놓게 된 것 같아요.
근데 여기에 이게 안전하다고 하면은 증권사 연결을 할 것 같은데 그냥 요즘에는 유출도 너무 많아가지고 SK도 그렇고 그런 거에 대한 약간 걱정이 있어요."
진행자	네이버 페이 증권을 연결한다라는 거는 안전하게 느껴지세요.
양*선	근데 제가 네이버 만약에 제 아이디 네이버 아이디로 들어가면은 바로 이게 연결이 되는 거예요 아니면 네이버 페이 증권의 아이디를 따로 만드는 거예요.
진행자	"네이버 아이디에다가 이제 연결시키는 거예요. 평상시에 이제 마이 데이터나 이런 거 연결해서 쓰세요.
네이버 페이 안 쓰고 이제 네이버 아이디 기준으로 뭔가 이제 마이 데이터 연결을 따로 동의나 이런 것들이 필요하겠"
양*선	"한번 만약에 네이버 메일로 들어가게 되면 이것까지 다 볼 수 있는 거죠.
그런 거에 대한 약간 우려 염려가 좀 있어가지고"
진행자	네이버 아이디가 뭔가 분리되어 있지 않기 때문에 좀 더 우려가 된다 이렇게 생각하시면
양*선	"그래서 이게 돈이 들어가 있으니까 네이버 안에서 그 메일만 있는 거잖아요.
네이버 증권은 돈이 들어가 있는 거라서 혹시라도 제가 공용 컴퓨터에 이거를 로그인을 했다가 로봇을 안 하면은 그런 그런 염려가 좀 있어가지고 이거를 하게 만약에 되면은 안전하다고 보장이 되면은 연기를 할 텐데 그전까지는 안 될 것 같은데"
진행자	"알겠습니다. 일단 처음에 이 화면을 딱 보시고는 여러 증권사에 있는 거를 좀 관리한다는 측면에서 이렇게 괜찮은 것 같다 이런 긍정적인 평가도 해 주셨잖아요.
그러면 평상시에 이제 투자 자산 확인하시는 그런 과정들을 좀 떠올렸을 때 좀 부족한 점이 있다면 어떤 걸까요?
어떤 내용을 좀 더 확인할 필요가 있다라고 생각하시는지 궁금합니다."
양*선	장고 이거 크게 나온 것도 괜찮고 2시
진행자	뭔가 이제 미래에셋에서 투자 중인 자산을 확인하는 상황을 좀 생각해 보시면은 어떤 정보를 좀 주로 매일매일 들어가서 세네 번씩도 본다고 하셨는데 잔고 많이 보지 잔고예요.
양*선	"하나하나 디테일하게 오르고 내리는 것보다도 코스피가 올랐다고 그러는데 장고부터 보죠.
얼마나 올랐는지 왜냐하면 그 전날까지 얼마였는지 아니까 장고부터 보면은 이만큼 올랐구나 그러고 나서 세세하게 이 종목을 보는 것 같아"
진행자	그러면 누적 수익의 변화를 보세요. 아니면 어떻게 보시는 것 같으세요?
양*선	잔액
진행자	총 잔액의 변화를 어제 걸 기억하고 계셔서 이렇게 비교하시는
양*선	"매일 보니까 얼마가 올랐으면은 오늘은 코스피가 올랐는데 제 것만 떨어질 수가 있잖아요.
딴 거 안 오르면은 그래서 대충 코스피 딱 보면은 이제 잔고도 보면은 올랐구나 그 어떤 게 올랐나 더 이제 자세하게 보는 거죠."
진행자	"저희가 지금 화면상으로는 이렇게 준비가 되어 있긴 한데 실제 지금 상황을 떠올려보면 국내 주식도 하고 계시고 해외도 또 염두에 두고 계시고 또 미래에셋에서 이제 투자하면서 다른 데서도 이제 하고 계실 수도 있잖아요.
그런 걸 떠올렸을 때 이 화면에서 어떤 내용도 좀 확인을 해야 되는데 이렇게 좀 조언해 주실 만한 게 있는지 한번 여쭤봤고요.
혹시 생각나시는 게 있으면 말씀 주시면 좋을 것 같아요."
양*선	"이게 되게 좋은 거 같네요. 미래에셋 들어갔을 때 오늘 가장 많이 오른 내 종류 이건 좀 이거 좋은 것 같아요.
제가 이 오른 게 좋잖아요. 어느 게 다 종건강을 다 보지 않아도 여기가 이게 많이 올랐구나 그러면은 삼성전자면은 반도체가 오르겠구나 이렇게 약간 연상을 할 수 있으니까 한눈에 볼 수 있는 게 좋을 것 같은데요.
네 그렇군요. 그리고 1"
진행자	"뭔가 좀 더 직접적으로 여쭤보자면 지금 보여주고 있는 모습들이 다 전일 대비 어제보다 얼마 그리고 전일 대비 오늘 가장 많이 오른 어제 대비 이런 것들을 보여주고 있잖아요.
이렇게 보여지는 기준을 어제 대비해서 변화를 보여주는 건 적절하다고 느껴지세요?
아니요. 아니라고 느껴지"
양*선	지금 지금이요 지금 현재가가
진행자	현재가가 얼마나 올렸는지요?
양*선	"현재가가 지금 얼마가 올랐는지가 제일 중요하지 전일 대비 아직 전일 대비는 옆에 있으니까 이것도 다 그냥 현재가 나오는 거잖아요.
옆에 그냥 부가적인 정보로 전일 대비는 나오는 거고 현재가는 지금 현재가고 얼마 오르는데 나온 거고 선생님"
진행자	"지금 수치가 사실 정확하게 지금 맞아 있지 않아서 좀 그렇긴 한데 예를 들면 평가 손익과 손익률이 누적이고 전일 대비가 현재가의 변화량이다라고 생각해 보시면은 어때 보이세요?
그러니까 제가 산 거는 이미 손익은 지금 16%가 아니라 지금 가치 기준으로는 한 50% 이렇게 된 것 같은데"
양*선	전일 대비 1.4% 오른 거예요. 지금 여기 나온 게
진행자	"전일 대비는 16.85%고요. 이제 손익률이 이제 수치가 아직 안 맞아서 그렇긴 한데 한 2만 5천 원 정도 올랐으니까 한 56% 60% 이렇게 오른 거잖아요.
만약에 그렇게 좀 표시돼 있다면 지금 보여지는 이제 기준들은 적절하게 느껴지시는지 평상시에 지금 보시는 모습이라 생각했을 때"
양*선	"그렇게 하니까 되게 헷갈리는 것 같고 보통 제가 보는 건 현재가랑 제가 가지고 있었던 거랑 손익률 손익이요.
네 그거 보는 것 같아요. 얼마 정도 올랐는지 대비 그러니까 전날 대비죠.
그게 전날에 딱 고정가에서 지금 현재가에서 얼마가 올랐는지 이게 선행 맞죠?"
진행자	그러면 제가 질문 다르게 드려볼게요. 오늘 가장 많이 오른 네 종목이 삼성전자가 16.85%가 올랐잖아요.
양*선	저는
진행자	그러니까 이게 현재가일 거라고 생각하세요? 현재 삼성전자 종목이 16%가 올랐다고 생각하세요?
양*선	늘 대비 16% 오른 거예요.
진행자	"전일 대비 삼성전자가 16% 올랐다 이렇게 생각하시는 거고 알겠습니다.
뭔가 저희가 이제 보여주고 있는 기준들이 명확하게 좀 이해가 되시는지 그 부분을 좀 확인하려고 추가적으로 질문드려봤고요.
시간은 이제 다 됐습니다. 그래서 마이 메뉴도 평가해 주시고 저희 마지막 질문드리고 마무리하겠습니다."
진행자	한 장 넘겨보시면요. 오늘 보신 이제 개선된 네이버 페이 증권 PC 서비스에 대해서 전반적으로 좀 어떻게 평가하시는지 점수 주시고 다음 5점 이렇게 주셨는데 어떤 부분을 조금 더 보완하면 이제 7점이 될 수 있을지 의견 주시고 일단 마무리할 수 있도록 하겠습니다.
양*선	증권 정보에 되게 충실한 것 같고 여태까지 봐왔던 증권사에서 제공하는 정보들이나 이런 알고리즘 같은 거는 다 똑같은 것 같아서 이질감이나 부족함 같은 건 없었던 것 같은데 좀 더 뉴스 리서치 이런 거는 좀 선택과 집중을 해서 사람들이 관심이 가게끔 헤드라인이나 수를 적게 하더라도 다른 증권사가 제공하는 정보랑 좀 차별되게 하면은 사람들이 많이 들어와서 볼 것 같고
양*선	"전반적으로 한눈에 보유 자산이라든가 이런 거는 너무 많은 정보가 있지 않고 찾기 편해서 좋았던 것 같아요.
자산 현황 보"
진행자	알겠습니다. 아쉬운 부분에 대해서는 이제 뉴스 쪽 많이 좀 얘기를 해 주셨는데 혹시 홈이나 이렇게 마켓 토론 다른 메뉴에서도 주실 만한 의견이 있는지 한 번 더 여쭤보겠습니다.
양*선	마켓에서도 그렇게 100% 변한 그런 거는 없어서 그냥 기존에 있었던 거 눈에 좀 비슷한 느낌이 있긴 한데 조금씩 좀 더 가다듬어진 느낌이긴 하고
양*선	중요한 내용을 좀 더 직관적으로 볼 수 있는 사이즈 사이즈가 사이즈 외형 좀 더 깔끔하게 하면 더 좋을 것 같아
진행자	"알겠습니다. 좀 중요한 정보를 강조해야 되는 것들을 뉴스 리서치나 이런 전반적으로 좀 평가해 주시는 것 같습니다.
오늘 저희가 이제 준비한 질문이나 이제 화면 보고 하는 얘기도 다 마쳤고요.
긴 시간 동안 참여해 주시고 좋은 말씀 많이 주셔서 다시 한 번 감사드립니다.
인터뷰 마무리하겠습니다."
