	P5. 김*현
김*현	"이 차트 차트가 저기서 하지만 일단 여기서 일단 이게 사실 시세 정보하고 사회적 어떻게 보면 시세 정보 이것도 있고 사실 시세 정보랑 차트랑 어떻게 보면 연결해서 약간 그 그림을 약간 그림을 그릴 수도 있지 않을까 싶고요.
그래서 이거 이거 효복 집 자식이 지금 현재 보면 거의 7개월 단위인데 7개월 단위로 시세 정보 52조 단위는 큰 의미가 큰 차이는 없지 않습니까?
그래서 지금 하고 이게 지금 옆에 가격으로 돼 있지만 지금 현재 이게 상대적으로 만약에 50개 이상으로 치고 하면은 50개 이상 최고 올랐을 때가 100이고 만약에 가장 낮았을 때가 영향을 치면 지금이 한 몇 프로 정도에 있는 거라든지 그런 식으로 약간 해서 좀 더 눈에 세부적인 내용은 아니어도 되니까 저쪽 눈에 들어오게 이렇게 같이 연결해서 볼 수 있죠.
한눈에 볼 수 있게 했으면 어떨까요?"
진행자	"전반적으로 시세가 그러니까 한 번에 좀 들어오지 않는다라는 의견으로 좀 이해를 하면 되겠네요.
다음으로 이제 볼 화면은 마켓 화면이고요. 마켓 화면 같은 경우는 아이가 아까 저희가 좀 시간을 가지고 봤었죠.
그래서 조금 짧게 한번 탐색해 보시고 바로 의견 얘기해 보겠습니다.
매매 동향 같은 것도 저희가 다음 화면까지 준비가 돼 있거든요.
혹시 궁금하시면 좀 눌러서 같이 보셔도 좋을 것 같은데 투자 이번"
진행자	네 동양 부분도 한번 눌러볼까요?
진행자	생각하셨던 화면이랑 같았나요?
김*현	"그 같은 데 제가 생각했던 것보다는 좀 더 이게 기관 쪽이 더 세분화돼 있는 것 같습니다.
좀 더 세분화 이게 자기가 보면 통상적으로 개인 외국인 기관으로 보고 기관이라고 하면 기관에서도 크게 보면 저희가 연기금이나 연기금하고 그다음에 나머지 연기금 그다음에 투자 정도 하고 나머지 기관으로 봤는데 여기는 보험 투신 은행까지 해서 아 저기 좀 더 영역이 생각했던 것보다 더 세분화돼서 나오는 것 같습니다."
진행자	"좀 더 세분화된 것 같다 이렇게 말씀해 주셨고요. 외국인 매매 기관 매매 프로그램 동향 같은 화면도 좀 준비가 돼 있는데 저희가 이제 화면 뿐만 아니라 이제 마켓이라는 메뉴를 좀 평가를 하려고 하다 보니까 화면도 한번 보여드렸습니다.
짧게만 그럼 보고 넘어가겠습니다. 내용은 이제 다 봤으니까 바로 그냥 평가해 볼까요?
앞에 그 평가지"
진행자	네 역시 이제 눈에 좀 잘 들어온다 에는 6점을 주셨는데 나머지 1점을 좀 보완하기 위해서 어떤 부분이 개선이 돼야 될 것 같다고 느끼시는지 어떤
김*현	"동산에서 업종이 현재 이렇게 업종 업종을 이렇게 지금 현재 탑 데 일단 업종 자체를 할 수 바로 들어갈 수 있게 좀 되어 있었으면 좋겠고요.
지금 현재 상태는 업종을 이렇게 드 전자 장비가 있지만 사실 업종이 이거 외에 더 있지 않습니까?
근데 그러면 하다못해 이 대화 일단 세분화된 업종은 더 들어가더라도 이면 전자 전자 기계 일단 그렇게라도 해서 바로 여기서 업종으로 들어가서 거기서 더 들어가 더 들어가면 전자에서 그 기계 기계 들어가면은 항공기 선박 조선 들어가더라도 이렇게 좀 더 세분화된 업종이 바로 이제 들어갈 수 있게 지금 됐으면 좋겠습니다.
지금은 이 업종 시가총액 펜만 나오는 거지 이게 업종을 바로바로 여기서 밑에도 업종 5개 어떻게 보면 나와 있는 거니까 바로 이 업종을 바로 들어갈 수는 지금 현재 없는 상태여서 그래서 이게 만약에 업종 업종에 저기 시가총액 자체가 사실 저희가 중요한 건 아니지 않습니다."
김*현	그래서 그 업종을 바로 여기서 연결해서 들어갈 수 있게 그러면 그러면 그렇다고 과거 같이 업종은 30개 40개 단위면 너무 만산파니까 대구라는 데는 업종 단위로 해서 들어간 다음에 거기서 또 들어가는 게 했으면 좋겠습니다.
진행자	"특정 업종에 대해서 좀 접근하기 어려운 부분을 좀 언급해 주신 걸로 이해를 하겠습니다.
그 부분이 이제 눈에 잘 안 들어온다 이렇게 평가해도"
김*현	하고 그러니까 결국 연결돼서 똑같이 여기 약간 편의성하고 같이 연결돼서
진행자	"네 알겠습니다. 이 화면을 저희가 좀 안 보고 넘어갔었는데 혹시 이제 주식 ETF 전체 종목을 좀 확인할 수 있는 리스트를 랭킹이죠.
구성에서 좀 보여주고 있는 항목이 좀 적절하다고 느끼시는지 보여지는 모습에 대해서 의견 주시면 좋을 것 같습니다."
김*현	"주식은 기본적으로 이 정도 항목 이 항목 자체는 이렇게 일단 이렇게 적절한 것 같습니다.
주식 주식은 일단 일단 전임 입이라든지 주식 항목에서는 이건 일단 적절한 것 같고요.
그다음에 여기서 다른 이제는 이 말을 어차피 나중에 보면 알겠지만 고가하고 저가가 이제 어느 기준인지 당일날 당일 오늘 현재 고가 저가 최적 적부가 저가인지 그건 나중에 알 수 있어 나중에 아마 주석이라든지 있을 테니까 그건 문제는 안 될 것 같습니다.
그래도 하고 ETF에서도 역시 순자산은 국내 주식형 응 이거는 어차피 여기서 유형을 유형 단위로 다시 부유를 할 수 있을 걸로 보이기 때문에 유형 단위로 부유할 수 있을 것 같고요.
그다음에 제가 보은 ETF ETF에서도 이게 할 수도 있고 여기서 약간 어차피 아마 유형 단위로 볼 수 있고 자기가 보면 통상 유형이라는 게 위험도 상대적으로 이제 위험도 단위로 위험도 단위로 일반적인 미래에셋이나 이런 데 보면 위험도 단위로도 펀드들이 다시 나열할 수 있거든요."
김*현	"드 펀드라든지 이테크도 할 수 있고 아니면 또 이렇게 투자한 국가라든지 항목 단위로 이걸 분류할 수 있는데 거기가 아마 아마 여기 테마 아마 여기서 테마 전체가 들어가면 아마 테마로 들어가면 아마 그게 아마 그건 나올 것 같습니다.
산업 산업 테마 방위산업이라든지 이런 테마 단위로 분류를 할 수 있을 것 같고 그다음에 또 지역 단위로 분류하는 건 여기에는 없는데 아마 그것도 나중에 결국 만들어지지는 않을까 싶습니다.
지역 단위 단위로 미국 미국 펀드라든지 국내 펀드 국내 펀드하고 우선적으로 해외 펀드하고 일단 해외 ETF하고 국내 ETF하고 일단 분리를 해서 봐야 될 수도 있기 때문에 그런가요?
볼 수 있지 않을까 싶습니다. 알겠습니다."
진행자	"의견을 여쭤보긴 했는데 이제 넘어가기 전에 혹시 마켓 페이지에 이제 상세 화면에서도 혹시 좀 개선했으면 하는 그런 내용도 있으실까요?
지금 종목 이렇게 보고 있는 화면에서 이해가 되지 않으시거나"
김*현	"근데 그게 안 거기보다 아마 이런 것도 여기다가 이게 저기 항목이 제가 지금 거래 정지인데 배당이 예전 배당률이라든지 이런 걸 가지고도 아마 증여를 할 수 있는 있는 것 같습니다.
그래서 이런 것도 배당률 단위로 정의하는 것도 이게 괜찮은 것 같고요.
어차피 여기 지금 아마 있기 때문에 결국 프레스 정렬할 수 있는데 그건 결국 이 배당 금액 자체보다 배당률이라는 배당 비율로 아마 정리를 할 수 있을 것 같고요."
김*현	"그래서 그것도 이제 민 옆에 대게 투자 거래 정지는 이해가 되고 관이나 거래 정지는 당연히 들어가야 되는 건데 이게 투자 주의는 투자 주의는 아마도 아마 금감원의 투자 주의라든지 이런 것들이 아닐 것 같은데 투자 주의 기업들 같으면은 투자 주의 기업 자체를 보는 게 사실 의미가 있는 건 아니고 투자 주의라든지 이런 것들은 결국 투자를 하면 안 되는 거니까 그런 것들은 옆에다가 표시라든지 이게 만약에 i라고 하면 옆에다가 예를 들면은 삼성바이오로직스가 투자 주의라고 있다고 하면 옆에다 그냥 아이라고 하나 명시하면 될 것 같습니다.
저희가 그 투자 주의 세부 내용을 알 필요는 없고 다만 투자 주의라고 하면 되고 이제 섣불게 접근하면 안 될 거니까 포함 되어 있으면 된다 이렇게 이해를 하겠습니다.
세부적인 내용은 필요하면 더 들어가면 더 보면 되니까 알겠습니다."
진행자	"다음으로 이제 넘어가 볼 텐데요. 이 토론 화면이고요.
동일하게 이제 탐색해 주시면 되겠습니다."
진행자	토론 메뉴 네
김*현	"토론 메뉴에서 일단 저희 이게 그전에는 약간 그 생각인데 일단 토론 메뉴에서 결국 이제 종목별로 토론 종목을 본다면 대게 보면 토론자 하면 지금 뜨는 글이라든지 이 상 토론 관련해서 활발한 것들이 활발하고 이슈가 되고 있는 방덩이부터 방이나 그림부터 쭉 나오는 거 나옵니다.
대부분 그런데 일단 결국 제가 보고 싶은 특정 종목이 만약에 처음에 여러분 네이버 방에 보고 싶다 그러면 네이버 방을 아예 이제 제가 보고 싶은 방이라든지 그 종목에 관련된 토론만 한번 볼 수 있게 그걸 할 수 있게 먼저 보면 좋지 않을까 이게 토론 급상승했다고 해서 여기 있는 4개가 사실 저하고 어떻게 보면 관련 없는 주식이라고 한 건 사실이잖아 토론 내용이라든지 그 자체가 저한테 정보로서의 의미가 그렇게 없기 때문에 제가 선정하고 보고 싶은 항목 보고 싶은 종목에 관한 토론 그건 관련된 것만 먼저 우선적으로 뜨게 하는 게 좋지 않을까 싶습니다."
김*현	"대게 보면 토론 쪽은 우리 보면 관련해서 핫한 글이라든지 약간 핫한 토론방 그 순서로 나열이 되고 그리고 약간 그런 식으로 자리 좀 나오더라고요.
그래서 약간 제가 내가 보고 싶은 종목에 관한 것만 은 종목에 그게 우선적으로 나오고 나머지 내용도 나오면 좋지 않을까 싶습니다."
진행자	아까 이제 탐색하시면서 하나 오션 좀 눌러보는 모습도 있었는데 어떤 거 기대하셨어요?
김*현	"눌러보시면서 여기서는 이제 이게 이슈적인 토론에서 혹시 관련해서 일단 환화동오션도 조선이니까 옆에 뭐가 나와서 옆에 과연 그래서 토론 글이 아까 전에 똑같은 토론 글이 있는가 이렇게 어떤 것들이 올라와 있는지 좀 보려고 그랬고요.
그래서 만약에 그것도 아까 얘기했듯이 제가 보고 싶은 종목에 관한 것들이 있다 그러면 여기 앞에 먼저 선정되는 일종의 고정택식으로 고정 방안에만 해놓으면 네 거기 좋아"
진행자	"일단은 관심 있는 종목에 대한 토론방을 우선적으로 보여줘야 된다라고 말씀 주신 거는 충분히 이해를 했고요.
그 외에 지금 오늘의 추천이나 실시간 토론팀 왔다 갔다 하시면서 좀 보셨던 내용 중에 관심이 가거나 내가 투자하는 데 좀 도움이 될 것 같다라고 느끼신 내용이 있었다면 어떤 내용이었을까요?"
김*현	"이제 공사에 거는 이제 실시간 토론회에서 업종 관리라도 지금 현재 이 관심이 업종 간에도 도움이 될 수 있다고 보는데 그런데 다만 업종 간으로도 될 수 있다고 보는데 이게 이게 너 그 생각인데 이게 사실 해당 업종하고 관련 없는 것들이 사실 너무 많거든요.
그래서 이게 만약에 해당 업종 전체를 다 볼 수도 있지만 이게 보여진다면 해당 업종에서 딱 진짜 업종하고 관련 없는 것들을 좀 배제 AI 그래 나 안 보이게 하고 그걸 선택하는 애들 업종하고 관련된 것만 좀 더 보이게 한다든지 그렇게 한다면 도움이 되지 않을까 싶습니다.
그래서 업종 단위로 본다면 it 소프트웨어 관련해서 현재 관련된 것들이라든지 이런 것들에서 여기 지금 실제로 어떤 것들이 실제로 뭐가 딱 세부적인 것 같으면 어떤 것들이 있어요?
지금 같으면 이게 업종하고는 전혀 상관없는 것들이 사실 많은데 그런 것들은 좀 안 보이게 할 수 있는 기능도 있으면 좋지 않을까 싶습니다.
알겠습니다."
진행자	"좀 관심 있게 보신 내용부터 또 그 보완할 점까지 함께 언급해 주신 걸로 이해하고요.
그럼 만 평가하고 또 바로 넘어가 보겠습니다."
진행자	"네 평가해 주신 내용에 대해서는 방금 이제 말씀하신 대로 이해를 하고 바로 넘어가 볼 텐데요.
뉴스 리서치 메뉴입니다. 실제로 리서치는 또 아까 뉴스랑 해서 기존에도 이용하고 계시는 메뉴라고 말씀 주셨는데 기존 경험들도 비교해 주시면서 바뀐 화면들 보시고 의견 바로 주시면 좋을 것 같습니다."
진행자	개별 뉴스의 내용보다는 어떤 기준으로 좀 보여주는지 그런 걸
김*현	봐주시면 좋겠습니다. 실시간 속보의 당연히 이 실시간 숙박 아니면 당연히 하고 단위로 당연히 있어야 돼 그건 당연히 있어야 되는데 여기다가 보면 이렇게 결국 같은 비슷한 맥락인데 일단 전체적으로 우리 같은 비슷한 맥락이 되는데 해당하는 조금 전체적인 어 선생님 보면 속보 중에서 내용이 전체적인 장에 대한 게 있고 산업에 대한 것들이 있지 않습니까?
김*현	산업에는 LS 일렉트릭이 어떤 산업에 대한 게 있으면 속보를 약간 어서 할 수 있으면 전체적인 장이나 경제에 대한 것하고 저희 부분 종목에서 보면 리서치에 보면 산업 분석이 있고 경제 분석 나누듯이 약간 그거 속보라고 하더라도 전체적인 장애에 대한 거 하고 산업에 대한 거하고 이게 뉴스를 할 때 약간 구분해서 보이면 좋지 않을까 이게 섞이다 보면 이게 사실 좀 덜 들어오는 측면도 있고 그래서 그렇게 뉴스 할 때 이게 장 산업은 이게 어떻게 보면 지금 현재 실시간 수포가 보고 첫 번째가 가장 눈에 들어오는 거니까 그다음에 내려가서 여기를 이쪽에 나눈다는 의지에 있어서 산업에 관한 거 경제에 관한 거 경제에 관한 거 이렇게 전체적인 장면이라든지 경제에 관한 거 이렇게 두 개 나누면 좋지 않을까 싶고요.
김*현	그러면 산업에서는 일단 그다음에는 아마 하지만 이것도 결국 이제 기사 너무 기사 단위로 이렇게 나열하면 물론 중요한 것도 있겠지만 기사 단위로 나열하다 보면 자기가 이게 너무 세부적으로 하고 관련 없는 내용까지 너무 세부적으로 봐야지 관련된 것들이 우선적으로 나오기 때문에 이것도 결국 이건 주요 뉴스에서도 조정할 수도 있고 여기서 앞에서 조정할 수도 있겠지만 산업에서도 업종 단위라든지 테마 단이라 그런 단위로 약간 또 뉴스를 일단 관련된 뉴스만 먼저 나오게 볼 수 있게 하면 좋지 않을까 싶습니다.
진행자	리서치 메뉴도 혹시 좀 봐주실 수 있을까요?
김*현	"이거는 약간 저기 현재 요즘 많이 보는 리포트 앞에 이렇게 나오는 거는 이제 괜찮은 것 같고요.
이건 전체적으로 볼 건데 이거 여기서 지금 최근 이슈 중 애널리스트 집중 분석보다는 다만 이제 그래도 이제 일단 결국 카테고리 단위로 카테고리별 최신 리포트 그래도 더 앞쪽으로 와야 되지 않을까라는 생각이 요즘 많이 보는 리포트 앞에 고 이 결국 처음 들어가는 화면에서 요즘 많이 보는 리포트하고 최소한 그다음에는 저기 어플 카테고리 별로 들어갈 수 있어 이렇게 해야 되지 않을까 싶습니다."
김*현	그래서 이게 안 중에 이제 이슈 종목도 있고 애널리스트가 집중 분석한 거 1주간 에너리스트 20주간 산업이 이렇게 있지만 이제 어떻게 보면 저하고 관련 없는 내용들이가 앞에 다 나오실 수 있으니까 그래서 결국은 관련 없는 거 찾아 들어가면 카테고리 단위로 분류된 것들이 앞으로 와야 되는데 다만 이제 그런 카테고리 단위로 된 게 처음 들어가는 것보다는 처음부터 들어가면 카테고리에만 집중하는데 요즘 많이 보는 리포트 10가지 이 정도 이런 것들은 결국 요즘 많이 보는 리포트 이런 것들은 첫 번째로 한 거는 오히려 보면 이거 괜찮겠다 보기 너무 한쪽에 너무 너무 매몰되지 않고 이렇게 볼 수 있으니까 너무 괜찮겠다 싶습니다.
진행자	"한 가지 좀 질문드리고 싶은 게 이제 토론 쪽에서는 뭔가 보유 종목을 좀 강조해서 말씀을 해 주셨던 것 같고 마켓이나 또 뉴스 이런 부분에서는 이제 산업 관련된 얘기를 많이 강조해서 말씀해 주셨잖아요.
근데 이제 보셨던 화면들 중에 어떤 산업 단위로 좀 보여지는 내용도 있었는데 이번에는 카테고리별로 보여지는 게 더 우선이 돼야 된다 이렇게 말씀 주신 게 있어서 제가 좀 그런 부분에 대해서 어떻게 생각하시는 건지 좀 더 구체적으로 여쭤보고"
김*현	"네 카테고리 일단 카테고리가 제가 다 전체 리포트를 분류한 거지 않습니까?
그래서 이 부분 필요하면 여기 산업 단위로 산업 분석으로 들어가야 될 수도 있고 아니면 필요하면 여기서 제가 종목 단위 종목 분석을 해서 리포트를 일단 들어가야 될 수도 있고 아니면 경제는 전체적으로 경제 분석으로 들어가야 될 수도 있고요.
그다음에 결국 종목 분석에서 보면 제가 아마 여기 들어가면 이제 제가 원하는 종목에 관련된 것들이 또 종목들이 네이버라든지 이런 식으로 구체적으로 들어갈 수 있기 때문에 일단 이걸 먼저 이게 먼저 들어가야 일단 거기서 제가 그래야 상황에 따라서 이를 경제 전체적인 경제에 관한 거 산업이 하고 업종에 관한 거 그다음에 개별 업체에 관한 거 선정해서 들어갈 수도 있기 때문에 이게 어떻게 보면 전체에 대한 포괄된 메뉴인데 이 안에서 선정해서 다시 안으로 들어가면 들어가야 되기 때문에 이게 먼저 가야 되지 않을까 싶습니다.
알겠습니다."
진행자	잠깐 해주시고 넘어가겠습니다.
진행자	7점을 주셨네요.
김*현	그렇게 기존 거 나오니까 나아져
진행자	이전보다 나아졌다고 느끼세요
김*현	"알겠습니다. 가독성이 확실히 이게 좀 더 나아진 것 같아요.
이게 또 그리고 너무 어떤 것들 보면 그래픽만 강조하다 보면 이게 너무 그쪽 중심으로 가는데 적절하게 이게 텍스트하고 그래픽이 잘 균형이 맞는 것 같습니다.
알겠습니다."
진행자	"근데 콘텐츠에 대한 얘기는 그래도 어떤 니즈가 있는 걸 얘기해 주셨잖아요.
이제 업종이나 이런 걸로 먼저 뉴스가 좀 분류됐으면 좋겠다.
그런데 이제 좀 점수를 높게 주셔가지고 혹시 어떤 다른 생각이 드셨던 건지"
김*현	일단 그것보다는 전체적으로 일단 확실히 이게 지금 지금 결국 디자인 디자인 디자인적으로는 당연히 이게 지금 훨씬 기존보다 매력적이고 그러면 일단 이용상에서도 지금 들어가서 보면 이용하는 데서도 이렇게 좀 이렇게 크게 불편하거나 이런 거 못 느끼
진행자	"알겠습니다. 이제 마지막 화면이고요. 이제 한 10분 정도 남았는데 이 화면만 화면 이제 마치도록 하겠습니다.
마이 화면 아까 잠깐 봤었는데 한번 조금 더 확인해 볼 필요가 있을까요?
그 부분을 좀 확인해 보고 싶으셨는데 제가 화면이 중요해 있네요.
관심 종목 메뉴랑 알겠습니다. 일단 다시 이제 화면으로 돌아왔고요.
평가하기 전에 질문 하나 드려볼게요. 이 마이 화면에서 김성현 님께서 투자 관리를 하는 데 있어서 좀 도움을 받을 수 있다고 느낀 부분이 있었나요?"
김*현	"일단 제일 처음에 봤을 때 일단 전체적인 장고 장고하고 투자 수익이 전체적인 장고 투자 수익이 제 평가 금액 전체적인 잔고에 관한 거죠.
그래서 전체 잔고 금액이 하다 보면 전체 잔고 금액이 현재 얼마인지 오르지 않습니까?
그렇지만 너희 보면 그게 가치가 변동하는 거니까 그래서 현재 전체적인 잔고가 얼마인가 그래 볼 수 있으니까 일단 그게 자체가 일단 제일 괜찮은 것 같고요.
그다음에 여기서는 이게 여기서 세부적으로 다 나오지는 않겠지만 이게 평가 평가 손익이라는 건 결국 이제 시세에 따른 평가 손익만 지금 나오는 거지 않습니까?
그 시세에 따른 평가 손익이 나오는 거죠."
김*현	그러니까 근데 이게 사실 내가 보유하고 있는 배당에 있었으면 배당에 따른 손익 배당 수익이 배당은 손해 보는 건 없을 테니까 배당 손해는 없을 거고 이 배당 이익이 있다면 누적 배당 이익이라든지 배당 이익도 옆에 있었으면 그러면 그게 사실 어떻게 보면 전체적인 제가 투자해서 벌어들인 돈의 그거니까 그거 혹시 그 항목이 하나 더 있었으면 좋겠다 싶습니다.
진행자	"수익에 대해서 조금 더 구체적으로 이제 알고 싶은 정보를 말씀해 주신 거군요.
알겠습니다. 자산 현황이나 이제 종목별로 이렇게 구성되어 있는 자산들 종목이나 이제 증권사별로 구성되어 있는 자산 현황이 있었잖아요.
혹시 여기 있는 내용들이 내가 매일매일 들어와서 내 자산을 확인하는 데 있어서 충분하신지 평상시에 이제 확인하시는 모습을 좀 떠올리셨을 때 이런 정보는 확인해야 되는데 없다 이런 게 있으면 좀 말씀해 주시면 좋겠습니다."
김*현	"평가 금액에서 이제 평가 금액은 있고 거기서 약간 저기 있으면 가지 투자 수익도 있겠지만 이 아 그런 경우는 없겠지만 저 있다고 하면 저런 것들이 있어야겠죠.
갑자기 이게 급락했다든지 급등했다든지 약간 경고랄까 아까 전에 투자 주의가 떴다든지 그랬던 약간 그런 거 약간 들어갔을 때 이게 만약에 있다고 하면 앞에 그걸 어떻게 보면 그런 걸 주의 지금도 우선적으로 봐야 될 것들이 갑자기 급락했다든지 아니면 투자 주가 떴다든지 하면 그걸 처리를 해야 되니까 그런 것들이 또 앞에 혹시 있으면 앞에 이 앞에 여기 너 고정적으로 있을 필요는 없지만 있다고 하면 그런 것들 앞에 그냥 음식 내음식으로"
진행자	만약에 그렇게 우선적으로 봐야 하는 종목을 이제 서비스에서 표시를 해 주면 그 종목에 대해서 어떤 걸 좀 우선적으로 급하게 확인해야 될까요?
김*현	"투자 투자 만약에 투자 주의라든지 이런 것들이 다 투자 주의인가 그다음에 만약 급락이 있었어 했다고 하면은 이게 왜 급락했는지에 따라서 그 사유가 있을 테니까요.
그러면 그 사유가 만약에 좀 만약에 지속되는 사유가 좀 지속성이 가을 사유다.
이러면 삼성에서 반도체가 지금 다른 데 경쟁력이 많이 떨어졌다 하면 투자 비율 필요하면 우선 손에 손절해서 될 수도 있고"
진행자	질문을 좀 드렸던 게 그러면 이 서비스 안에서 어떤 내용을 찾아서 그 왜라는 질문에 답을 할 것 같으신지 그러니까 왜 떨어졌는지 왜 투자주의가 생겼는지
김*현	또 여기 연결될 수 있으면 좋을 것 같고 만약 연결 안 된다고 하면 다시 또 뉴스나 뉴스 여기에서 뉴스 리서치를 찾아보든지 아니면 다시 또 어디 가면 해당 종목의 공방을 다시 한 번 또 혹시 뭐 다른 발이 뜬 게 있는지 확인하든지 저 아니면 진짜 일반적인 네이버 검색에서 찾아보든지 일단 하겠
진행자	네 알겠습니다. 이제 마지막 페이지에 대해서도 메뉴에 대해서도 평가를 해 주시면 좋겠습니다.
진행자	"보유 중인 이렇게 주식 종목을 보여주고 있잖아요.
혹시 이게 보여지는 걸 평상시에 어떤 순서로 좀 보고 싶다 이런 생각도 가지고"
김*현	"그것도 만약에 이게 나야 할 수도 있고 이건 이건 사실 할 수 있으면 제가 그냥 선정해서 할 수도 있겠죠.
예를 들면 꼭 저거 아니더라도 앞에 이러면 제가 HD 현대 말이 그거 기준이 아니더라도 선정해서 바꿀 수 있으면 그렇게 하면은 일단 결국 자기한테 관심 가는 종목들이 있으면 그걸 앞으로 당겨놓고 이렇게 할 수 있을 거고 만약에 있다면 지금 현재 같으면 거의 이게 솔직히 이건 지금 현재 무슨 기준으로 지금 정리가 됐는지는 딱 눈에 보이지는 않는데 기준 기준 단위로 일단 국공립 는 아마 금액 금액 단위 금액이 큰 금액부터 정리할 수 할 수도 있고 아마 추가 한다고 하면 여기서 기준은 금액이 큰 단위로 하지 않을까 싶고 다만 이제 할 수 있으면 국내 주식하고 또 해외 주식을 vu에서 여기서 분류하고 예서 자면 삼성전자 갔다가 테슬라 갔다가 현대 발행 갔다가 하면 공통스러 그건 vu에서 좀 나눌 수 있으면 좋지 않을까 싶습니다."
진행자	"사실 지금은 이제 어떤 정리가 돼 있는 상태는 아니에요.
그래서 어떻게 평상시에 보시는 것들을 생각했을 때 어떻게 보는 게 좀 자연스럽게 느끼시는지 그거 한번 여쭤봤고요.
한 장 넘기시면은 마지막 질문인데요. 오늘 저희 이제 개선안 네이버 페이 증권 PC 서비스에 대해서 한번 보셨는데 전반적으로 어떻게 평가하시는지 한번 최종적으로 매겨주시고 이유에 대해서 한번 여쭤보겠습니다."
진행자	7점을 주셨네요. 네 어떤 점들을 좀 고려하셔서 7점 주신 건지 설명해 주시면 좋겠습니다.
김*현	"전체적으로 그동안에는 보면 네이버 페이 증권이 텍스트 중심으로 되어 있다 보니까 사실 이게 가독성이 좀 떨어졌습니다.
물론 대부분 세부 차차 여기서는 현재 지금 전체적으로 개선된 내용 그다음에 앞으로 개선된 지금 개선된 방향이 가독성이 훨씬 좋게 딱 이렇게 소리를 들어서 들어가서 내가 어떻게 작은 것이 중심으로 보는 게 아니라 세부적으로 핵심적인 내용들이 일단 가동성 중심으로 딱 보이게 되었고 이게 또 하다 보면은 그동안 많은 경우들이 너무 그래픽이라든지 가동성만 보다 보니까 내용들이 또 텍스트가 또 너무 없는 경우도 있었는데 어떻게 보면 그래픽과 텍스트에 적절한 균형을 통해 그래서 가독성이 좋아져서 일단 한눈에 보기가 쉬워졌다."
김*현	그리고 그래서 아마 이 많은 그동안 보면 좀 네이버 페이 증권 화면에 필요해서 필요에 의해서 들어갔지만 지금 같으면 이제 이거 자체를 약간 결국은 저희가 인터넷 쇼핑하는 것들이 보면 꼭 그게 좀 더 재미있고 좀 더 흥미가 있고 좀 더 끌어당겨 가동성이 좋으면 또 좀 더 자주 들어갈 수 있지 않겠습니까 그래서 그런 것들에 네이버 페이 증권에 좀 뭐랄까요 좀 자주 들어보면 들어가 보고 싶겠다 이런 것들이 약간 좀 더 수요가 좀 더 생기는 거
진행자	그런 감정이 좀 드셨고
김*현	"그래서 이게 결국 이제 항목들이 다 중간에 좀 부족한 내용도 있고 하지만 전체적으로 이제 하면 봤을 때 가독성들이 다 좋아졌고 그다음에 아까 뉴스 리서치 경우에도 뉴스라든지 이런 것들도 이제 전체적으로 성 가독성이라든지 그런 차원에서 그다음에 또 들어갔을 때 들어갔을 때 일단 내가 필요한 것들이 지금 사실 되게 홍마면 쪽에서는 상당히 괜찮게 지금 나오고 있다 그래서 이런 것들이 괜찮게 보고 있습니다.
예 알겠습니다."
진행자	"어 좋은 평가를 이제 좀 계속 어떤 좋은 느낌 받으셨는지 이렇게 말씀해 주셨는데 방금 중간에도 말씀 주셨던 것처럼 중간에 부족한 부분도 있고 이렇게 평가를 해 주신 부분이 있잖아요.
그래서 나중에 이제 좀 쓰시게 될 어떤 네이버 페이 증권 서비스로서 김상현 님께서 좀 더 기대하시는 부분이 있다면 아까 이제 뭔가 부족하다고 말씀 주셨던 것들 포함해서 어떤 부분이 좀 더 보완해서 되면 좋겠다 개선이 되면 좋겠다."
김*현	"그냥 여기서 현재 네이버 페이 증권 서비스에서 여기 할 수 있는가 가장 제가 보는 건 결국 좀 맞춤형으로 좀 더 이제 할 수 있는 것들이 많아 맞춤형이 좀 더 많아졌으면 좋겠다.
아니 아까 전에 토론 방에서 말씀드렸지만 제가 보고 싶은 항목이라든지 그런 것들 그런 토론방이라든지 그런 것들 해서 내가 봤을 때 전반적으로 내가 필요한 것들을 우선적으로 볼 수 있게 그걸 약간 선택할 수 있게 하는 것들이 좀 더 많아지면 좋겠다 보고 있습니다.
뉴스도 마찬가지고 이렇게 내가 좀 더 보고 싶은 것들 그래서 그 항목들을 저희가 일반적으로 네이버도 사실 저희가 수많은 태도 중에서 제가 보고 싶은 것만 우선적으로 지금 나오지 않습니까?"
김*현	제가 하듯이 내가 내가 우선적으로 보고 싶은 것들 그다음에 내가 우선적으로 좀 할 수 있는 것들 내가 여기서 그래서 마이 코너에서 약간 선택 그런 것들이 선택하면 돼 하면 되니까 그래서 그래서 그런 것들을 중심으로 할 수 좀 내가 내 중심 저한테 할 수 있는 그런 것들이 있으면 좋지 않을까 싶어요.
진행자	그래서 지금 마이페이지 들어가서 마이 페이지에 들어가서 이렇게
김*현	그래서 제가 한 얘기 지금 마이페이 아예 여기는 없는 건 아니지만 있으면 사실 이 대게 보면 맑은 거 그런 것들이 있는
진행자	"알겠습니다. 저희가 이제 준비한 질문이랑 화면들 보는 과정들 다 마쳤고요.
이제 1시간 30분 정도 다 돼서 이제 인터뷰 마치려고 합니다.
괜찮을까요? 네 네 긴 시간 동안 참여해 주셔서 다시 한 번 감사드리고요.
인터뷰 종료하겠습니다."
김*현	네 감사합니다. 감사합니다.
