	P3. 원*정
진행자	"그 외에는 내가 뭔가 우선순위에 따라서 아까 이제 홈을 바꾸는 거에 대해서도 말씀도 해 주셨잖아요.
이제 바꿔볼 수 있다면 어떻게 이 순서를 좀 배치해 보고 싶으신지 그렇게 생각해보면 어떨까요?"
원*정	"제가 바꾸면 좋겠다 생각을 하긴 했는데 그때는 거의 동일한 사이즈로 동일한 강조점이 되어 있는 건데 나열이 되어 있다 보니까 그런 생각을 했는데 지금 뭔가 적재적소에 뭔가 강조점을 다 배분해 둔 느낌이라서 굳이 그렇게까지 할 필요는 있을까 싶고 그리고 오히려 뭔가 이런 주요 지표 같은 것들은 보통의 이런 약간 네이버 탭에서도 항상 상단에 있었던 것 같아요.
그래서 그냥 익숙한 느낌이라서 굳이 이거를 막 아래로 내리거나 이런 선택은 하지 않을 만약 그런 기능이 있다고 하더라도"
진행자	"위쪽에서 지금 말씀 주셨던 저 지수들로 구성돼 있는 영역은 어떤 생각이 드세요?
보셨을 때는"
원*정	원래 있던 그 위치에 있는 느낌인데 좀 더 근데 원래 있던 그 위치인데 좀 더 자세하게 적어놨다.
진행자	더 자세하다라고 생각이 드셨을까요?
원*정	"자세한 건 그냥 단순히 커져가지고 자세하다고 느끼는 것 같기도 해요.
그때에 비해서 그냥 말 그대로 물리적으로 크게 커졌으니까 태수 자체가 그냥 좀 더 좁은 화면에다가 담아놓은 느낌이었고 그래서 그런가"
진행자	"기존에 비해서도 구성하고 있는 6개 지표에 대해서는 자주 확인하는 지수들로 구성이 되어 있다라고 느껴지세요.
아니면 내가 주로 확인하는 정보가 있는데 부족한 부분이 있다면"
원*정	여기 옆에 일단은 이 스크롤락 할 수 있다 보니까 제가 만약에 추가로 더 지수를 다른 걸 보는 사람이라고 한다면은 전체 지수 보기 누르면 충분할 것 같고 일단 제가 참고하는 걸로는 다 이 6개가 제일 대표적이라서 꽤 무리 있다고 생각하세요?
진행자	이제 넘어가려고 하는데요. 이제 평가를 아직 이제 못 해주셔서
진행자	혹시 뭐 조금 이해가 되지 않는다라고 느끼신 부분 있었을까요?
원*정	"당연히 전체 글을 담는 거 자체가 정보 전달에 있어서 더 유리한 방식이라고까지 얘기는 못하겠지만은 여기도 보면 좀 잘린 게 많다고 해야 되나요?
특히 이 쇼텐츠는 아까 얘기했다시피 기대했던 기능이랑 좀 많이 달라가지고 제가 이걸 이 기능을 써봤을 때 이게 뭔 기능이지 하고 이해는 잘 못할 것 같아요.
이걸 들어가 보기 전까지 주 정도"
진행자	"아마 기대하는 것과 내용이 달랐던 것들이 있어서 좀 이해가 안 되는 부분이 있다 이렇게 체크를 해 주시면 알겠습니다.
다음으로 보실 내용은 종목 상세 화면입니다. 종목 상세 화면을 저희가 이제 좀 봤었는데요.
첫 화면에서 보여지는 내용도 그렇고 이 상단에 있는 메뉴도 저희가 화면을 좀 준비해 놨거든요.
한번 탐색해 보시고 이렇게 의견 동일하게 주시면 되겠습니다."
진행자	"다 7점을 주셨네요. 어떤 점들을 좀 탐색하시면서 보셨는지 여쭤보고 싶습니다.
어떤 거 보시고 또 7점까지 이렇게 주셨던 건지"
진행자	"혹시 뭐 종목 상세 화면에 대해서 떠오르시는 분 주시고 싶은 말씀은 없으세요?
따로 질문은 좀 어떻게 제가 다르게 드려야 될까 좀 저도 다시 질문을 좀 드릴 수 있게"
진행자	아까 이런 얘기 주셨잖아요. 뉴스 같은 경우에는 자주 확인하시는 메뉴인데 지금 좀 상대적으로 강조가 덜 되어 있는 것 같다 아니까 우측 아래에 있는 그 내용에 대해서 이런 내가 이용하는 환경을 좀 떠올려봤을 때 종목 상세가 이용하기에 편리하게 돼 있는가 이런
원*정	"그중에 지금 보니까 아까부터 그걸 좀 찾았는데 그게 없는 것 같아요.
최신순위라든가 아니면 마이버 순위라든가 어떻게든 이 뉴스도 순서별로 이렇게 나열을 하는 방식들이 있잖아요.
그걸 선택할 수 없는 거는 조금 아쉬울 것 같아요. 그냥 만약에 제가 찾고자 한다거나 아니면 어떤 사람들이 어떤 정보를 많이 습득했는지를 알고자 한다면은 많이 본 뉴스 이런 식으로 찾으면 좋을 텐데 많이 본 뉴스가 여기 가면 여러 데 가면 있겠지만은 그거는 제 종목만 찾기에는 좀 불편한 감이 있잖아요.
네 그래서 이 마켓 화면에서도"
진행자	제가 다시 여기
원*정	이 마켓 화면에서도 뉴스 같은 걸 봤을 때 좀 순서를 좀 정할 수 있는 그런 기능이 있으면 좋겠어.
진행자	뉴스에 대한 정렬 기능 얘기해 주시고
진행자	첫 화면에서요. 이제 왼쪽 영역 있잖아요. 이 왼쪽 영역에서는 어떤 게 가장 눈에 들어오세요?
원*정	최고랑 최저가
진행자	최고 최저가
원*정	네. 시세 정보 여기
진행자	"그 부분이 눈에 가장 좀 들어온다고 하셨는데 평소에 자주 확인하는 지표가 있다면 뭘까요?
예를 들면 아까 삼성전자 하이닉스 같은 건 주로 보신다고 하셨는데 들어가셔서 그 종목에 대해서 어떤 지표를 주로 보려고 시도하세요?"
원*정	지표라는 게 어떤 정보를 말씀하시는 건가요?
진행자	"그러면 삼성전자 하이닉스 종목 상세에 들어가면 약간 뉴스 보시는 거 말고 아까 이제 투자 동향 얘기도 좀 해 주셨던 것 같은데 그런 것처럼 어떤 정보를 좀 보려고 들어가시는 게 있는지 네 기존 화면 한번 들어가 볼까요?
예를 들면 이 종목 상세 화면이라고 했을 때 이제 어떤 거를 좀 보시는지 이렇게 종목 분석하면"
원*정	이거 이걸 본다고 잘 아는 건 아닌데
원*정	"여기 있는 내용을 다 알지는 못하지만 이 위에 있는 단기 순이익 정도까지는 읽을 수 있거든요.
딱 여기까지만 볼 수 있는 정도인데 이런 거 표 보는 것 같아요.
어떻게 동양이 갔구나 하는"
진행자	종목 분석해서 그렇게 확인하시는 거죠?
원*정	여기 많이 들어와 봐 여기 있는 이렇게 많이 드는 것 같아요.
진행자	알겠습니다. 어쨌든 눈에 들어오시는 건 이제 시세 정보가 좀 눈에 띄시고 실제로 만약에 분석하는 상황이라고 하면 종목 분석에서 확인하셨던 그런 정보들을 주로 보신다 이렇게 하고 이해하고 넘어가겠습니다.
원*정	"오히려 더 보기 좋게 변했네요. 지금 보니까 그러세요?
왜냐면은 예전에는 등락 폭을 보여주지 않고 말 그대로 숫자의 나열이었어.
근데 지금은 이제 이걸 마이너스식으로 표현을 해놨잖아요.
오히려 이게 보기 좋은 것 같아요. 그렇게 되면 제가 이걸 하나하나 이렇게 정보를 비교할 필요 없이 미리 이미 비교를 해 놓은 표가 되니까 이건"
진행자	"알겠습니다. 정말 비교가 되어 있어서 좋다 이렇게 의견 주신 걸로 이해를 하고 다음 화면으로 넘어가 볼 텐데요.
마켓 화면입니다. 네 마켓 화면도 저희가 좀 준비해 놓은 화면들이 몇 개 있어요.
그래서 제가 그냥 한번 보여드려도 될까요? 네 이 주식 ETF 랭킹 화면에서 전체도 한번 이렇게 보실 수가 있고요.
보시면 돼요. 제가 어떤 화면들 준비돼 있는지만 먼저 설명드리고 이렇게 업종 테마 이제 그룹사에 대해서도 좀 확인하실 수 있도록 화면을 준비를 해놨습니다.
그리고 이제 매매 동향 같은 경우에도 들어가실 때 이제 이런 메뉴들 이제 화면 준비해놨는데 한번 보실 시간은 충분히 드릴게요.
그래서 보시면서 어떤 걸 보고 계시고 바로바로 그냥 이 콘텐츠는 어떤 것 같다 여기 안에 있는 내용은 어떤 것 같다 의견이 드시는 게 있으면 설명해 주셔도 좋을 것 같습니다.
아까 이제 이 화면 저희 잠깐 봤었죠."
원*정	"저는 사실 제 주식 투자 성향 자체가 그냥 제가 최대한 많은 정보를 얻을 수 있는 쪽에 한다였는데 이렇게 업종별로 해놓는 거는 꽤 재밌는 것 같아요.
그러니까 좀 더 시야를 넓게 가지는 게 좋을 것 같은 생각이 들어요.
지금까지는 딱 그 그래도 주변에 많으니까 주변 사람한테 얻을 수 있는 정보에 의존해서 하는 경향이었다면 얘는 좀 더 넓게 시야를 가질 수 있을 것 같은 이라고 해야 되나 사실 제가 종이약 먹자라는 업종 자체에 관심을 가질 일은 없을 것 같은데 이렇게 있으면 한 번쯤은 이런 종목들도 있고 어떤 약간 사유를 이렇게 오르고 내리고 하는구나 그런 식으로 접할 수 있지 않을까 싶은데 그룹사는 이게 의미가 있나 특히나 isk처럼 그룹사가 엄청나게 많은 이거는 저라면 이 그룹사 탑은 거의 안 들어와 볼 것 같아요."
진행자	그 부분이 연결이 안 돼요. 안에 이제 종목은 연결이 돼 있어서 이
진행자	좀 아쉽지만 주식 ETF t만 이렇게 준비가 돼 있고요.
진행자	"안에 있는 내용들 좀 꼼꼼히 봐주시고 계셨는데요.
혹시 어떤 생각들 하면서 보셨어요?"
원*정	뭔가 테마별로 잘 정리를 해놓은 느낌인 것 같고 내가 방금 봤던 이 표에서는 상세 설정 이걸 통해서 내가 원하는 것만 이렇게 추려서 볼 수도 있는 건가 생각이 들어가지고 이건 좀 사용자 친화적이지 않을까 이
원*정	종목 볼 때 이런 투자비 이런 것도 이렇게 좀 추려볼 수 있는 건 저한텐 좀 처음 보는 기능 같아서 거래 동기나 이런 것들은 어쩔 도 눈에 한 번 더 왔던 것 같아 이런 탭은 많이 못 봤던 것 같아서
진행자	"정렬하는 기준이 좀 새로웠던 부분에 대해서 이제 말씀 주셨는데 혹시 뭐 그런 내용들이 있다라는 게 저희가 어떻게 좀 그 감정을 더 이해를 할 수 있을까요?
어떤 반응으로 이해하면 될지"
원*정	아무튼 이 관리든 거래 정지는 투자 주의든 다 이 주식의 안정성이 담보되지 못한 부분들이니까 어떤 종목들이 그렇게 됐나 하고 궁금해서 눌러볼 것 같아요.
진행자	"사실 그렇게 지금 제가 지금 질문드렸던 게 어떤 어떤 생각들로 이해를 하면 될지 이런 질문이었잖아요.
동일하게 이제 이 마켓이라는 메뉴 안에서 이런저런 정보들을 제공하고 있구나 시간을 가지고 좀 봤는데 실제로 투자하시는 상황에서 네이버 페이 증권 서비스 많이 이용하시잖아요.
들어와서 PC 이제 본다고 말씀하셨는데 기존의 경험이랑 비교했을 때 어떻게 느껴지시는지"
원*정	"이전에 비해서 뭔가 여러 가지로 좀 많이 왔다 갔다 하면서 보게 되지 않을까 싶어요.
그러니까 제가 네이버 페이 증권 홈페이지를 볼 때는 진짜 딱 한정돼 있을 거예요.
딱 마이탭 들어가고 이게 들어가고 그 개별 마이 탭에 들어가 있는 관심 종목에서 들어간 다음에 이거 리포트 정리된 거 조금 보고 아까 봤던 그 표 같은 거 한번 쫙 보고 그 그 표도 자주 안 봐요.
가끔 그냥 보고 그리고 종토방에서 무슨 말 하고 있나 이런 거 보고 종토방에 또 광고 많이 올라와 있네 그냥 넘기고 그런 게 다였던 것 같은데 실제로 이 네이버 페이 증권이 이런 식으로 UI가 바뀐다고 하면은 실제 이 마켓을 통해서 아예 구매까지 이어지는 것도 경험도 할 수 있을 것 같다는 생각이 들 정도로 좀 정보들을 좀 더 다양하게 습득하려고 할 것 같아요.
이 사이트를"
진행자	좀 다양하게 더 돌아다니면서 볼 것 같고 다양하게 습득하려고 할 것 같다 이렇게 좀 평가를 해 주셨어
원*정	요전에 굳이 다른 탭에 안 들어가고 익숙한 것만 계속 들어갔다면 여기는 새로운 것도 많이 눌러볼 것 같아
진행자	"그럼 지금 새로운 거를 좀 눌러보는 과정이었잖아요.
사실 오늘 좀 경험해 보신 것들이 그 과정에서 이렇게 좀 정보를 더 보여줬으면 내가 새로운 걸 탐색하기 더 좋았을 텐데 이렇게 또 생각이 들거나 그러니까 기능적으로나 혹은 콘텐츠적으로나 기대하시는 부분이 있는지 한번 또 여쭤보고 싶습니다.
아니면 뭐 보여주고 있는 정보의 우선순위일 수도 있고요.
그냥 어떤 의견들 좀 주셨으면 좋아"
진행자	"각본 잘 잘 생각이 안 나네요. 네네 알겠습니다. 그래서 저희가 이제 마켓에 한번 쭉 보면서 질문들 몇 가지 드려봤고요.
일단 평가를 먼저 해 주시면 좋을"
진행자	"이런 질문을 하나 또 추가로 드려볼 수 있을 것 같은데요.
지금 이제 업종 테마 탭 한번 확인했었잖아요. 혹시 이런 각각의 정보들 종이와 목재에 의해서 요약하고 있는 이런 정보들 요약이 좀 적절하게 내가 이 산업을 판단하기에 잘 되고 있다고 생각하시는지 그런 의견을 주시하면 어떨까요?
이 화면을 딱 봤을 때 이제 종이와 목재라는 산업이 어떤 상황이구나라는 것들이 바로 인지할 수 있을까요?
인지될 수 있을까요?"
원*정	"저는 잘 안 될 것 같아요. 저는 그냥 숫자만 숫자 이렇게 분면만 보고는 잘 알기가 어려울 것 같아 같은 저는 말 그대로 줄글로 뭔가 누가 풀어주거나 약간 설명된 자료를 봐야지 약간 이런 산업이구나 알 것 같은데 예를 들어 종이와 목재라고 한다면은 이 산업은 어떤 식으로 약간 이루어져 있고 앞으로 어떤 방향으로 흘러갈 것이고 지금까지 어떻게 흘러왔다 이런 식으로 뭔가 한 줄 평이라도 있으면 이 산업은 이런 산업이구나 알 것 같은데 이게 숫자 빈방통만 있는 거 봐서는 앞으로 어떻게 될지 이런 건 전혀 모를 것 같고요.
저는 그럼 어디가 어떻게 어떤 규모의 산업인지 이런 것도 전혀 모를 것 같아요.
저는 지금 사실 이 종이 목재라는 탭만 예시를 해봤을 때도 저는 구일 제제라는 거 처음 들어보는데 밑에 무림페이퍼는 왠지 들어갔거든요.
근데 근데 이 표에서는 지금 거래량이든지 아니면 이 시총이라든지 다 구리드제가 제일 큰 거잖아요."
원*정	근데 왜 얘가 더 큰지 이런 것도 아예 모르겠고 그래서 저는
진행자	좀 디테일한 정보들을 확실히 알기는 어려운 것 같다.
원*정	저는 모를 것 같아요. 아예 제가 모르는 섹터니까 더더욱 그렇게 말씀드리.
진행자	"네네 좋은데요. 계속 뭔가 좀 제가 앞에 있어서 더 부담을 가지고 하시는 것 같긴 해요.
그래서 방금 말씀하신 것처럼 그냥 솔직하게 좋고 싫은 것들 그냥 편하게 말씀해 주셔도 되는데 제가 부담을 드렸나 싶어가지고 저도 제 제가 더 어렵게 말씀 아니에요.
아니요. 방금 말씀 주신 것처럼 이제 의견 주시면 되고요.
이제 마지막 이 하나 남았어요. 네 초롬 메뉴 종이는 벌써 넘겨주셨네요.
여기는 지금 저희가 처음 보잖아요. 아까 잠깐 스쳐 지나가듯이 봤는데 동일하게 스크롤 내리면서 탐색해 보시고 또 실시간 토론 탭이랑 해서 어떤 내용들을 담고 있는지 먼저 봐주시면 좋을 것 같습니다."
진행자	어떤 생활하시면서 보고 계신지도 그냥 편하게
원*정	"확실히 이 방식으로 바뀌면은 이전에는 토론방이라는 느낌보다는 광고방이라는 느낌이 좀 강했거든요.
어떤 제목이 있어서 들어가면은 댓글에 어쩌고저쩌고 방으로 도우세요 이런 식으로 그런 거는 확실히 줄어들 것 같아요.
진짜로 뭔가 토론이든 그게 그 질이 좋든 아니든 간에 어떤 의견을 교류할 수 있는 장으로서의 역할은 훨씬 잘 구성이 된 것 같고"
원*정	"이 실시간 토론은 잘 쓸까 싶어요. 그러니까 이 업종이 업종 자체에서 동향도 있지만은 제가 아는 분야가 이거밖에 없어요.
얘기를 드리자면은 지금 하이닉스랑 삼성은 약간 반비례 관계에 좀 있다고 생각을 하거든요.
왜냐면은 말 그대로 파일을 나눠 가져야 되는 관계니까 그래서 이 같은 it 소프트웨어라는 이 제가 이 분야를 잘 모르지만 여기서도 어느 정도 파이를 나눠 가진다고 한다면은 이 토론 주제랑 이 토론 주제랑 서로 의미가 없을 수도 있다고 생각을 하거든요.
어쩌면은 이 주식이 이제 내려가고 얘가 오를 거다 이런 식의 얘기도 할 수 있겠지만 아예 쓸모없는 아예 둘이 연관성 없는 얘기를 하고 있을 수도 있어 업종별로 묶어 놓는 게 정말로 의미가 있을지 그런 생각은 조금 들었어요.
오히려 그냥 그래서 말 그대로 이 주식 하나를 테마를 잡고 그 주식에다가 다 같이 관련된 사람들끼리 얘기하는 게 더 편하지 않을까"
진행자	그렇군요. 일단 실시간 토론이랑 오늘의 추천 이렇게 왔다 갔다 하면서 이제 쭉 보시고 의견 주신 거는 실시간 토론에서 이제 업종별로 나와 있는 것들이 상관관계가 없는 글들이 이제 올라올 수 있어서
원*정	"그리고 이 인기 유저 이런 것들이나 핫 이런 거는 어떤 기준으로 되는 건지 이 인기 유저 절대 안 판다고 했는데 나중에 팔면 어떡하지?
모터스 임직원인 거 어떻게 검증하세요?"
진행자	어떤 기준인지는 모르겠다 말씀 주셨는데, 카이랑 인기 유저라는 어떤 태그가 있는 이런 글들이 보여지는 거에 대해서는 어떻세요?
원*정	"사람들이 어떤 글에 대해서 동의를 하거나 동의를 하지 않으니까 한글에 올라갔을 거라 생각을 하거든요.
어떻게든 어떻게든 일단 이슈가 되는 부분이니까 쟁점이 있을 거라 생각을 해서 들어는 가볼 것 같아요.
어떤 부분으로 싸우든지 동의를 하든지 하고 있겠구나 하고 근데 뭔가 제가 굳이 이 인기 유저의 말을 막 따르려고 들어가지는 않을 것 같아요.
핫글이라고 해서 이게 정답이네. 이러지 다은 않을 것 같고"
진행자	"오늘의 추천 같은 화면도 이제 좀 꼼꼼히 봐주셨는데 보여지는 기준들이 여러 가지가 있잖아요.
위에서부터 쭉 내려오면서 봤을 때 이런 기준들은 내가 이제 토론이라는 거에 토론이라는 콘텐츠에 좀 관심을 끌고 있는지 보자 생각 어떤 것 같으세요?"
원*정	"당연히 약간 토론이라고 말하기에는 조금 여기 나와 있는 내용만 본다면 당연히 그렇기는 좀 어려울 것 같고 그냥 사람들이 회사에서 떠들듯이 그냥 얘기하는 느낌인데 그래도 확실히 이전에 비해서는 좀 더 명확한 것 같아요.
그러니까 예전에는 게시판에 줄글 형태였으니까 당연히 어떤 사람이 어떤 생각을 가지고 있는지도 몰랐고 그리고 지금은 이렇게 약간 네임드 유저라고 할 만큼의 이런 사람들을 좀 선정해 놨지만 그때는 그런 것도 아예 없었잖아요.
그냥 아이디로 이렇게 표시가 되는 게 끝이었어. 정토방에 자주 보이는 사람들도 있지만 그 사람들이 어떤 예를 들어 인기 유저라든가 아니면 좀 잘 맞춰가지고 좀 유명해진 사람이라든가 그런 건 잘 모르는 그런 거였다면 이제는 약간 이런 타이틀을 붙여놓으니까 그런 식의 좀 구분점은 줄 수 있지 않나 그 사람의 의견을 참고해서 할 수 있지 않나"
진행자	"참고를 좀 할 수도 있을 것 같다 이렇게 생각이 드시는 만약에 지금 오늘의 추천 메뉴 지금 이 화면을 딱 보셨으면 이제 실제로 쓰는 상황이었으면 어떤 콘텐츠로 들어갈 것 같으세요?
좀 내려보시고"
진행자	뭔가 추가적인 탐색이 이루어진다면 이 중에서 어떤 걸 좀 해보실지
원*정	"그럼 토론 급상승 종목 들어가 볼 것 같고 그냥 이게 토론이 급상승해서 들어가기보다는 토론이 급상승한다는 것 자체가 이 주식이 지금 관심을 좀 많이 받고 있고 이쪽으로 돈이 모이고 있다는 뜻이 시장의 중심에 있지 않나 싶어서 그래서 그냥 이 종목에 어떤 이슈가 있나 하면서 이 종토방도 보고 이거랑 관련된 기사도 보고 할 것 같아요.
그냥 이걸 어떤 지표의 일부로 볼 것 같아요."
진행자	"그렇군요. 이게 지표처럼 좀 판단할 수 있다고 말씀 주셨는데 하이닉스처럼 기존에 좀 관심 가지고 있던 종목도 있지만 다른 종목들은 또 아닐 수도 있잖아요.
만약에 내가 반도체 분야가 아니더라도 여기서 토론 급상승이 되고 있다라고 하면 이렇게 확인하시겠다.
그렇게"
원*정	"네 한 번씩은 그냥 보고 이거 왜 이렇게 말이 많이 나오지 이런 것들 그런 식으로 동향 파악 정도는 할 수 있을 것 같아요.
제가 만약에 지금 하이닉스라고 한다면은 오히려 하이닉스 이 종토방은 그렇게 오히려 더 안 들어갈 수도 있을 것 같은 왜냐하면 제가 판단을 하는데 남의 얘기를 더 많이 듣게 되는 거니까 오히려 제가 어떤 판단을 가지고 하는 주식 쪽이라면은 오히려 좀 부방이 그렇게 막 참여를 하지는 않겠죠.
그"
진행자	"기존에 가지고 있던 종목이 아니라 뭔가 신규 종목을 발굴하거나 추가적인 정보 탐색할 때 이런 정보들 그럴 때 더 이걸 볼 것 같아요.
네 간단하게 이제 그 질문에 답해서 점수만 표시해 주시면 될 것 같고요."
진행자	"저희가 이제 새롭게 확인하셨던 유저와 관련된 얘기들 또 그리고 만약에 이용하신다면 어떤 걸 이용하실지 이런 얘기도 해봤잖아요.
그럼 토론 토론 메뉴에 대해서도 혹시 아까 마켓에서 테마 얘기하시면서 좀 아쉬운 부분도 말씀해 주셨잖아요.
그런 것처럼 토론 메뉴에 대해서도 이런 부분이 더 보완이 되면 실제로 서비스 오픈을 했을 때 유저들 입장에서 좋지 않을까 의견을 주신다면 어떨까요?"
진행자	"넘어갈까요? 네 알겠습니다. 맨 마지막 장 넘어가 보면요.
마지막 질문입니다. 저희 이제 1시간 30분 다 지났어요.
그래서 마지막 질문만 드리려고 하는데요. 오늘 경험한 이제 서비스 개선된 네이버 페이 증권 PC 서비스에 대해서 전반적으로 어떻게 평가하시는지 6점 주셨는데요.
그러면은 어떤 점이 조금 더 보완이 되면 7점이 될 수 있을까 라고 생각하시는 게 있으면 말씀 주셔도 되고 왜 6점을 주셨는지 여쭤보고 싶습니다."
원*정	제가 그런 의견을 드리고 싶어서 잠시만요.
진행자	네 질문이 너무 부담스럽나요? 되게
원*정	저도 제가 이렇게 생각이 멈춘 사람이 있구나
진행자	"시간이 많이 늦어서 천천히 보시고 혹시라도 떠오르는 게 있으면 주시고요.
너무 부담 가지고 해주실 필요는 없습니다."
진행자	네 그 옆으로 넘어가게 좀 세팅해놨어요.
진행자	"질문 좀 다르게 마지막 질문이니까 한번 다르게 계속 질문드려볼게요.
이제 먼 미래에 PC로 이제 이용하시다가 어느 순간 이제 오늘 이렇게 본 것처럼 개선된 새로운 페이지를 좀 접하시게 될 수 있잖아요.
그러면 이제 아까 말씀하셨던 것처럼 홈에서 뭔가 마이 이용하시고 종목에 대해서 상세 화면도 보시고 또 반도체 섹터에 대한 정보를 탐색하시고 이런 목적들로 네이버 페이 증권 서비스를 이용하시게 될 텐데 기존에 이용하시는 목적이나 뭔가 또 다른 오늘 보시면서 또 이렇게도 이용하실 수 있겠다 이렇게 생각되신 게 있으면 어떻게 하면 더 잘 쓸 수 있을까 내가 잘 쓸 수 있을까를 생각해 보시면 좋을 것 같아요."
원*정	저는 오늘 사실 이렇게 다른 증권사 연결해가지고 네이버 페이 증권에서 할 수 있다는 걸 처음 알았어
진행자	거든요.
원*정	"이 기능은 제가 돌아가서도 정말로 쓸 것 같은 기능이고 그리고 나중에 이게 어떻게 구현될지 모르겠지만 아까 여기서 약간 주식 매도 창 같은 게 아예 팝업 형태로 나왔잖아요.
근데 걔가 옆에서 그냥 따라다니면서 이렇게 볼 수 있으면은 오히려 이게 휴대폰으로 볼 때는 당연히 휴대폰으로 증권 거래를 할 때보다 훨씬 더 편하게 정보를 습득하면서 동시에 거래를 할 수 있는 방식이 되지 않을까 싶어서 이거는 이번 제가 여기 그냥 리서치하러 온 거지만은 이 기능은 진짜 알아가서 저도 그대로 사용할 것 같아"
진행자	"연결하는 거 그리고 이제 기대하시는 부분은 옆에 이제 휴대폰 화면들이 계속 따라다니면서 추가적인 탐색 중에도 이용할 수 있는 거 좀 기대하신다.
이렇게 정리하고 오늘 인터뷰 마무리하도록 하겠습니다.
긴 시간 동안 참여해 주셔서 다시 한 번 감사드리고요.
네. 마무리하겠습니다. 감사합니다."
